PRR (Hz),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
4387.1618040503,16.6007065905,23.7244067444,9.910914243,81.4945892772,1.311335578,1.5321644893352002,0.1089198536,1,1.0
907.9782906667,81.4064600149,35.2224007188,29.3037088283,1.7059232399,1.2979337925,1.5165058431570002,0.1515186319,2,2.0
3938.4655579925,89.1081722407,5.4520823611,6.1971227452,18.3479633182,1.3625126331,1.59195976051404,0.0209501746,3,3.0
1043.6762445606,93.6479723174,5.4476292711,37.3320425302,74.0002934821,1.3231164125,1.545929216365,0.1035503845,4,4.0
617.4417790025,15.1067485055,33.1881260104,39.6278273314,83.8454573415,0.7834599911,0.9153946536012401,0.8710760835,5,5.0
1418.5474091209,8.9013202768,4.4323008666,15.2957987785,11.7987072095,0.6165916127,0.7204256402786801,0.5143036396,6,6.0
1451.2999723665,77.9532294162,24.1147542307,3.3510438353,98.2894208282,1.3588153202,1.5876398201216801,0.0902174737,7,7.0
4556.6739663482,70.4793535639,24.9798441469,37.6611746475,74.6225172654,1.3975537292,1.63290177719728,0.0258000394,8,8.0
3722.7486004122,51.5528745949,2.1901584244,38.6605145782,0.3707518801,1.4239519012,1.66374540136208,0.0470990912,9,9.0
2990.265707951,10.5603190372,38.9651463265,6.5641399473,5.5884157307,0.9742891292,1.13835941855728,0.2043326953,10,10.0
4685.8124397695,96.7307789251,36.2448588563,26.0756919533,10.5508523062,1.2075237702,1.41087077310168,0.01679469,11,11.0
1637.2112636454,69.4227800705,39.6069427533,29.1895334795,95.0549285859,1.4673476222,1.7144489617784802,0.1007802864,12,12.0
575.5678485148,57.5920297485,3.1116866688,2.5336800516,49.0732613951,1.1731683617,1.37072991381028,0.3852882592,13,13.0
3879.9265641719,19.2667114036,1.7372204303,34.7365917265,79.3165585026,1.1113506658,1.2985021179207201,0.1203491233,14,14.0
618.1383403018,12.7139320411,21.9127444224,3.9718175307,93.0043059401,0.6068979846,0.7090996052066401,0.8208499193,15,15.0
4728.8174787536,44.9871562887,15.2527037924,6.4816620201,5.560472887,1.1969333466,1.3984969221674401,0.0472718427,16,16.0
1523.9813700318,40.40558571,32.3729786566,2.6122508198,22.5926010869,1.4103729932,1.6478798052548802,0.1899619256,17,17.0
626.5261149965,38.3089421736,3.002755526,10.4919211566,83.5522308014,1.0323682738,1.20621909110792,0.5242638463,18,18.0
3343.1326374412,98.8697293913,39.9444418987,27.9750796035,93.7053987756,1.1623557501,1.35809645841684,0.0230285917,19,19.0
4964.2933271825,23.3457343047,35.7444068929,38.4592460841,3.712320514,1.4425878673,1.6855196641533203,0.0716885201,20,20.0
3529.0193865076,56.8998761103,28.5744923321,4.2409810424,88.0381530151,1.1976628968,1.3993493286211203,0.0472725175,21,21.0
553.3258356154,78.2452864572,2.084874223,39.6936971322,64.3069501966,1.2054474173,1.4084447623733203,0.2688361679,22,22.0
2776.4913486317,39.0140846558,24.2644170881,39.3026297912,88.7207192369,1.2961780704,1.5144544574553602,0.0969716545,23,23.0
4916.2342394702,97.1191277262,4.0240879324,34.7459014505,51.5163325705,1.1279080992,1.31784782310528,0.0180059753,24,24.0
768.0031899363,97.248332072,3.0588992978,17.0423044637,20.7430680282,1.3528367426,1.5806544500538402,0.1383577978,25,25.0
2172.783087939,5.7583950879,29.1170904543,32.5108866766,99.5405564085,0.5176117526,0.6047775717378401,0.2361938849,26,26.0
2342.5204576924,93.8079302665,5.3327789973,37.8905544057,25.4856480286,1.291832513,1.5093771081892,0.0387874471,27,27.0
761.286159046,43.890175703,38.3162173685,39.9902837351,47.9331433773,1.3848365513,1.6180430265389203,0.3800955905,28,28.0
4826.1632048525,45.6567848241,32.9743888765,16.5558994561,98.4714675695,1.14451773,1.3372545157320002,0.0434632108,29,29.0
4984.8373425193,6.9279792299,8.3553391802,29.7772533074,15.8518726006,0.7727172523,0.9028428375873201,0.1497870675,30,30.0
3739.8858792149,25.4208712699,15.7537306338,2.8638933972,3.3063386567,1.3503871788,1.57779237970992,0.0988752956,31,31.0
1281.2140705064,72.3741752189,11.4681586078,3.1461341679,2.3061500862,1.1430993999,1.3355973388431601,0.1217324854,32,32.0
3650.3286259249,80.5225352384,38.9716057703,0.6715621054,61.988573242,1.314680069,1.5360721926196002,0.028397386,33,33.0
887.6236518845,24.5161746256,2.4408370871,16.2133075669,93.5819332488,1.1280169917,1.3179750531022802,0.5017454115,34,34.0
553.6205810495,95.5743367784,28.3790067933,4.7357618436,96.4904229157,1.0075019402,1.1771652669296802,0.1930771894,35,35.0
1487.1463798918,56.0562718101,33.0912759816,35.5204093456,5.2761433646,1.3896715777,1.62369227138468,0.1399159359,36,36.0
4523.5496782698,68.290912034,5.7089658547,15.5049037933,28.8689138368,1.2375807647,1.44598936547548,0.0270113247,37,37.0
1233.5395445116,27.1869497141,39.1255040006,9.1312827542,28.8743942045,1.2893875299,1.50652038993516,0.3242482527,38,38.0
4034.0554765426,33.0347201927,1.5874264119,12.6898304373,8.0001290888,1.0965909779,1.2812568985783601,0.0708227379,39,39.0
1360.7834563591,46.882465356,9.7936036047,38.0005927011,11.7785164155,1.19407256,1.395154379104,0.1946370144,40,40.0
4108.4172278643,61.2998985592,39.9734851574,7.1137927845,46.8482958153,1.1936252809,1.3946317782035602,0.0360153246,41,41.0
1271.6620285064,66.0032347171,5.1596868425,33.9735311642,66.5182926692,1.2343992112,1.44227203836608,0.1411285708,42,42.0
4312.1508886106,85.0086459937,25.563809745,38.905432187,44.272342138,1.242361948,1.4515757000432004,0.0219900579,43,43.0
4385.6602800079,33.7121955445,35.0626407256,11.2136182934,2.9240427539,1.369165267,1.5997326979628002,0.0588738639,44,44.0
4960.384292528,78.702178048,13.7941950802,2.4694458023,73.1234177947,1.1294345094,1.3196312807829602,0.0195654629,45,45.0
4153.69245084,99.7716877144,24.1456984985,1.0602191463,14.4276357256,1.3176948235,1.5395946317774,0.0174870458,46,46.0
1536.4129184745,94.3295473652,35.1940780194,1.9163978845,1.9295781851,1.3403693931,1.5660875988980403,0.0625104191,47,47.0
4316.4409226761,47.0195524412,9.273673182,3.1063707582,93.839523966,1.2540517334,1.4652340453045603,0.0457137047,48,48.0
2319.4335321896,17.3689554539,1.6975099999,0.9147593752,2.7859380469,1.0840265966,1.2665766754674401,0.2122968118,49,49.0
4032.1323536336,79.3449267978,2.3343003667,35.6686030328,42.490399722,1.0900270548,1.27358761082832,0.024414653,50,50.0
2734.2317583971,26.632109303,37.54086632,9.8015510663,98.4280889854,1.4177891033,1.6565447882957203,0.1331617551,51,51.0
4920.9285746329,92.9332198761,34.2543211635,2.8817866743,63.2791380398,1.0703881272,1.2506414878204801,0.0157554814,52,52.0
699.9474251511,23.4435277688,6.4616458352,35.6277808634,9.7442267151,1.1351866362,1.32635206573608,0.6346865034,53,53.0
4425.2997208387,51.8036738504,36.2302620192,11.4228035882,2.1543725394,1.0840265966,1.2665766754674401,0.0377482386,54,54.0
1855.6526666507,97.9007893428,19.3972506518,2.0080025122,23.3050664887,1.2548149209,1.46612575357956,0.0486572292,55,55.0
1258.4412149116,71.9629937218,15.7670866644,34.2968117737,94.6465437669,1.2651411247,1.47819089009948,0.1257172429,56,56.0
1143.3713342988,7.3005055927,13.745017653,35.3527479833,83.2690073614,0.4170742941,0.48730960522644007,0.3562865801,57,57.0
656.7348586395,48.18049605,31.8720462956,14.6745502204,95.9834858775,1.1756104105,1.3735832036282,0.4104013413,58,58.0
4886.8989907205,56.6491947928,7.6059794421,3.9199696109,51.6221205704,1.1578301314,1.35280872552776,0.0318591652,59,59.0
1479.0143999271,5.1853195811,33.3478818787,29.3903257325,23.3031278476,0.3496245101,0.40850127760084004,0.2217340401,60,60.0
1580.7915208861,63.7640651455,37.1751457336,8.5482054576,6.8903182633,1.391861046,1.6262504461464002,0.1097863106,61,61.0
2551.6611333005,88.5943577206,4.0127533027,7.9733705148,84.9861140363,1.2411741794,1.4501879112109601,0.037400711,62,62.0
3218.4212631546,69.1679204023,38.3524880689,25.1978662238,8.9854069985,1.3582361375,1.5869631030550002,0.0394784533,63,63.0
4535.2923348546,32.3903940991,21.9165096525,1.4976293966,88.7288738042,1.3411982522,1.5670560378704803,0.0630300234,64,64.0
794.3370174617,96.7235252494,37.9352871315,39.3687552959,41.3715044968,1.0995203691,1.2846795992564402,0.1335086078,65,65.0
4938.6564884335,14.6786307869,5.1353972182,4.4953962788,47.4241260439,1.2321121203,1.4395998013585203,0.107360366,66,66.0
4110.318469815,9.4900761452,1.783459363,4.8301872239,99.915930815,0.8522647592,0.9957861446492801,0.1702210119,67,67.0
4179.7435441986,6.0132088372,34.8857687833,4.7256064042,97.740633972,0.7219101907,0.84347986681388,0.1974081248,68,68.0
1088.3263284341,34.2838553526,32.1723251683,39.0829449147,98.2576949522,1.3090827607,1.5295322976018801,0.3407001388,69,69.0
3432.2468233295,53.7841802742,3.7092171707,38.0898019299,92.9616229609,1.1300159111,1.3203105905292403,0.0516014285,70,70.0
4825.1264137216,10.7682694495,32.5587170506,39.5164557174,8.5957664996,0.977951778,1.1426388574152,0.1229471447,71,71.0
2666.3737478666,19.4008539291,37.8402304724,36.1116266251,8.8420907967,1.2413500018,1.4503933421031203,0.1774067341,72,72.0
2729.1602417827,99.330361113,4.8504977021,16.0448487476,99.7930623591,1.1251366799,1.3146096967951602,0.0309947326,73,73.0
3558.2542661577,76.4568566764,39.8045795755,36.0897861049,97.8600162081,1.3563965637,1.58481374502708,0.0309940578,74,74.0
1413.9953190461,35.9340549447,24.5734655298,38.6589422822,12.1906295419,1.3534770748,1.5814026141963202,0.2274500246,75,75.0
4677.7221010998,42.8645882383,3.3594678147,36.461445801,98.8774527796,1.1415358562,1.33377049438408,0.0464060605,76,76.0
1482.1618255228,87.9922745889,32.4084489811,35.911693573,90.3232829645,1.1387556198,1.33052206617432,0.0786154525,77,77.0
955.9726323932,33.9461351465,12.6741698659,4.7379144281,9.1070436873,1.3151446934,1.5366150597685602,0.3748978606,78,78.0
3876.7726258375,60.9802652523,8.3749915943,34.2241112515,9.8206454888,1.0950328022,1.2794363260904802,0.0363621773,79,79.0
4391.7029574513,78.1750375032,27.5760908616,19.9732785672,0.8736093529,1.2411472433,1.45015643907172,0.022510337,80,80.0
4427.4892918766,28.2633712143,39.9190052436,23.9809018373,94.9359839782,1.5171398892,1.7726262465412803,0.0718619465,81,81.0
4308.9000638574,67.5198159134,7.4932106044,1.0892003402,92.7875969559,1.1081884287,1.29480736009308,0.026839248,82,82.0
4007.1218903176,42.3670575721,36.864591917,26.9924517721,12.4048841186,1.3907868111,1.62499531008924,0.0573157259,83,83.0
4862.1469624341,30.4182428727,8.8214763477,20.8567366749,80.7836353779,1.2135763586,1.4179426173882401,0.0606047535,84,84.0
524.4083325379,87.8323919326,6.3767831731,19.7957458347,44.4016318768,1.0344400177,1.20863971668068,0.2333326873,85,85.0
4695.2597456984,70.8174589928,37.9993917421,7.0428543538,47.3836005665,1.2681907605,1.4817540845682002,0.023548196,86,86.0
3166.3918942213,6.0818068357,10.0908924523,8.1492362544,4.8777834512,0.5795356726,0.6771294798658402,0.2047662612,87,87.0
4492.0033630915,58.5849075019,29.0529401633,37.6410512254,70.6889531575,1.3057572371,1.52564675582764,0.0337648307,88,88.0
4883.6441091262,13.8934193505,16.8329584096,37.4654304609,97.5860468112,1.1838692245,1.3832328019058,0.1087457525,89,89.0
597.3920403048,9.0811301256,37.9897112893,19.8981092125,18.504555244,0.3436046787,0.40146770659308,0.8069960546,90,90.0
3184.7012019716,49.5727314521,38.3057547905,3.7482373789,99.935583584,1.3192818698,1.54144893667432,0.0626838454,91,91.0
606.7359135486,69.4256109372,38.3076345013,25.955299139,97.1790104173,1.2118236819,1.41589478993196,0.2995721106,92,92.0
902.1937758662,46.5698439209,39.7254367773,8.3949559182,11.9592572562,1.1771718288,1.37540756476992,0.3039027086,93,93.0
526.9553833641,99.4120006869,34.6906888466,15.4245854169,10.0764721632,1.1106804452,1.2977190321716803,0.1903948167,94,94.0
1990.6870126724,56.7550067976,2.4111063629,0.0505213812,9.8942467012,1.3165564904,1.5382646033833602,0.0938526792,95,95.0
4667.1110517345,97.8304412076,8.9132465608,0.258410722,66.6962211952,1.1551161641,1.34963772613444,0.0166212636,96,96.0
652.7268337086,5.1989316475,5.0388374431,37.9057396203,42.2300174832,0.1276963151,0.14920037456284002,0.0365369533,97,97.0
653.4380214289,5.0208302634,39.1860596999,4.2495053634,80.5122704245,0.1704786245,0.19918722486580004,0.5836033296,98,98.0
4948.6078484915,74.5919539453,4.0794932875,12.6608773693,1.2519919313,1.4464438321,1.69002497342564,0.0216425304,99,99.0
2488.6472132057,38.8429640885,1.8922587712,8.5630643368,82.207512483,1.4175597525,1.6562768148210003,0.1090926052,100,100.0
917.4878196791,19.5189835131,30.812159346,0.771731101,86.8591886945,1.019230661,1.1908691043124,0.525566231,101,101.0
909.2769869603,10.8932840312,5.8552215393,0.1244887337,94.9966524728,0.6263037765,0.7317733324626001,0.6727795703,102,102.0
4969.5051987655,36.650269446,2.1599150682,1.5028198436,15.3228542767,1.2294772573,1.43652122742932,0.0469243152,103,103.0
711.2316628918,54.224519222,7.1647039442,33.9576937631,98.594337143,1.1943284862,1.3954534032760801,0.335937662,104,104.0
3565.6248088926,99.9641109165,8.5929870848,36.9136863202,4.4068558142,1.1964588908,1.39794256801072,0.0225096622,105,105.0
4637.4617582187,18.486437262,38.6926885634,1.9180994481,87.3773483559,1.3540842648,1.5821120549923202,0.0936799277,106,106.0
664.220652543,56.0410407279,5.7659299024,23.4132193774,6.1024216004,1.1340847893,1.32506466781812,0.3333413276,107,107.0
560.5261921883,70.8127149288,4.493995565,31.2734010071,5.8308728039,1.1019623353,1.2875327925645201,0.3047681534,108,108.0
4854.4913846999,58.7628668826,39.4414823875,26.9911153615,20.1132480986,1.2364021164,1.4446122328017603,0.0303017019,109,109.0
508.7605472654,87.6351437997,3.4509324636,4.4632624835,95.9080978297,1.1988508106,1.40073728710504,0.2381002253,110,110.0
4832.9545664601,25.0539791398,2.3311080425,39.4596234336,95.5699346028,1.2753138075,1.490076652683,0.0754978268,111,111.0
4704.5559636317,99.2513083015,36.235584938,18.537969254,92.3778367229,1.0772635073,1.2586746819293202,0.0157541318,112,112.0
3851.0041241534,5.4301523929,6.345901689,36.5768874064,90.7575496472,0.5365457913,0.6269001025549201,0.1366269083,113,113.0
542.983757332,13.7187287025,25.5091858339,36.2365055457,2.2429008037,0.7396965412,0.86426143873808,1.0192071654,114,114.0
618.8623397611,18.3028564928,1.6495750821,8.728396222,2.0645774901,0.7868868129,0.91939855219236,0.8528865597,115,115.0
1811.9116923772,85.489069894,1.6872125384,33.1408608332,5.0625625998,1.1534791886,1.3477250839602402,0.062856597,116,116.0
988.8803991489,60.5932981754,39.2461298024,9.456569925,97.6785982959,1.3175462336,1.53942101933824,0.2058054698,117,117.0
627.4447045289,29.4147915719,35.0356339039,0.2508687973,52.9077171348,1.0917925557,1.2756504220798799,0.6294870866,118,118.0
4806.6034177318,81.7561492929,37.4919766309,9.5927707106,93.6779533513,1.0794659355,1.2612479990382002,0.0199116408,119,119.0
4962.7050277777,7.5139300665,32.4487451538,25.5107863992,84.8299000412,0.897549484,1.0486968171056001,0.1477093252,120,120.0
1810.2017631754,99.0813278314,35.8461196655,36.6103612632,98.8130586222,1.2813276795,1.4971032607278,0.0498698641,121,121.0
4721.683150623,46.9033349911,39.9308800427,36.2892507389,86.1686881632,1.4287694126,1.66937418168184,0.0427695054,122,122.0
4660.8538227156,6.1358823534,12.9308303716,2.530185096,11.1498146318,0.637251159,0.7445642541756,0.1622555458,123,123.0
4996.4917460456,92.2858276591,12.2327187457,38.147319369,67.0643953606,1.3412926185,1.5671662954554002,0.0167940152,124,124.0
758.5623967461,92.198521751,3.3453677255,5.0780517235,2.3593747988,1.3574997095,1.5861026605798003,0.1546355828,125,125.0
4653.0321114697,32.1426745038,19.0851874086,38.6643771455,2.3196054623,1.3413969336,1.56728817721824,0.0588725143,126,126.0
1699.2489853874,97.9152058298,3.3645694307,1.294644922,88.4485515766,1.1796856595,1.3783447245598002,0.0540253487,127,127.0
1998.2182658277,81.9917372847,39.7914328594,36.3387666643,0.3229868598,1.2724896537,1.48677691138308,0.0573150511,128,128.0
996.197251603,72.6916365372,39.3701830716,2.0485921204,45.7986933179,1.2210687661,1.42669674631124,0.1560223189,129,129.0
3343.1331235915,74.5774857001,1.52662847,1.1515178159,70.72450798,1.2657394465,1.4788899692906001,0.034284435,130,130.0
553.532068152,5.0567028904,5.5148956566,27.0182076097,37.5570732169,0.0856826667,0.10011162777228,0.1897884992,131,131.0
1228.7891679443,5.6106851762,4.1127023227,8.8909468427,13.7152109295,0.4916060083,0.57439246009772,0.8398998268,132,132.0
4634.9631757475,61.5013699001,2.96717706,1.2318183854,6.8008712493,1.369598427,1.6002388021068,0.0261468922,133,133.0
3059.6695635468,33.4860325977,1.8408597056,39.7312595695,45.8581175655,1.4136150992,1.6516678819052801,0.1040699888,134,134.0
