PRR (Hz),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
576.5812001453,267.2328388236,33.2958387657,17.0747840233,56.2644998837,2.4004506594,2.8046865504429603,0.0857110875,1,1.0
235.8329737035,108.5511629574,7.9234465526,6.8419778976,79.6273231485,1.8310702189,2.1394224437627605,0.5039317983,2,2.0
686.516472511,150.2529939637,3.6718008379,5.1050518081,9.0675170533,2.4780487805,2.8953521951362005,0.1367942613,3,3.0
232.2236539796,114.33646027,38.6123201023,33.1305763125,7.539110817,1.8539386805,2.1661419542962004,0.4909416914,4,4.0
202.9459232464,292.0997343957,6.7264079656,4.1403185204,12.2446511872,2.2677435512,2.6496315652220805,0.2562796269,5,5.0
675.5045918748,111.7132596672,3.0560244061,38.7022938952,68.3676849119,2.2842619746,2.6689316911226406,0.2000004103,6,6.0
704.6612426639,275.8458252996,3.0763996039,15.9538242966,98.0358222499,2.3550120935,2.7515961300454004,0.0658007963,7,7.0
768.1192150339,103.9402326569,35.8929318627,0.3159876168,59.7265562043,2.2624411024,2.6434361840441603,0.188747941,8,8.0
325.4514407367,240.3410477564,14.6593616563,34.6624318883,7.0137813687,2.2712369598,2.65371326383032,0.1783558555,9,9.0
778.86500936,133.1030452624,39.3448534105,39.1863635555,64.2418020405,2.4026321201,2.80723536912484,0.134199614,10,10.0
374.6563756838,195.1392171904,24.5788710248,37.733662203,99.1312370636,2.2014465447,2.5721701428274804,0.1913425884,11,11.0
296.0243880749,118.4588188305,39.3124705674,7.1335396543,85.84816847,1.9618290704,2.2922010858553605,0.3844430587,12,12.0
788.79052829,256.2576454133,33.2933294284,6.2223309278,5.7732113637,2.3399198932,2.73396240321488,0.0605980054,13,13.0
442.8382350132,103.8089720532,6.5261795134,5.9879515693,12.5655370764,2.1236163227,2.48123331144268,0.3143066033,14,14.0
202.5731587783,226.2124767527,36.0818769233,3.8912153244,83.2518370822,2.0048043926,2.3424134523138402,0.2926553004,15,15.0
258.7645005435,100.7868858054,5.1219419977,39.5510719717,45.636237599,1.8020667318,2.1055347694351205,0.5013304029,16,16.0
798.4863243997,295.6392547116,34.5076910281,25.9624989331,95.0987804681,2.3777588131,2.77817339722604,0.0510696776,17,17.0
781.7078223452,284.8596023396,2.1815808639,31.3863181323,4.1317699477,2.3210170838,2.7118763607119205,0.0553952145,18,18.0
369.0868675709,204.8190739006,2.0726703382,1.1414805427,6.5712728538,2.2863572433,2.67137980307172,0.1818210087,19,19.0
226.3644924387,275.0253161415,6.9745946778,36.2520009652,80.9212039225,2.2017141815,2.5724828496646,0.2320437988,20,20.0
331.1594743282,298.9613400772,37.22992612,2.1547184885,82.2143092752,2.4047749726,2.80973907798584,0.1489172365,21,21.0
647.266019322,153.8242354989,34.9787228871,5.3046932444,91.3667112589,2.2570508693,2.63713823569012,0.1376681412,22,22.0
509.2142283916,278.0705168843,20.7733921865,29.5767602697,0.7510318421,2.3178089205,2.7081279427122005,0.1004185878,23,23.0
590.9484019503,186.4206140861,39.505577317,22.6944451034,0.7197067142,2.3701399689,2.76927153966276,0.1203423752,24,24.0
526.6151331365,272.541802749,5.5128595782,34.9732127786,96.2512373924,2.349990268,2.7457286291312,0.0943621613,25,25.0
786.8164828047,222.7547043934,36.3847594019,31.0347310454,86.4267576486,2.3965540818,2.8001337891751206,0.0727277287,26,26.0
447.505357489,112.0443189517,9.4877701481,25.2365273237,97.9419090785,2.1654414036,2.53010173596624,0.2874558836,27,27.0
482.0067293942,297.4622633308,4.8851134009,2.1112409979,47.5657816045,2.3538081622,2.7501894567144802,0.0969534346,28,28.0
772.3392277956,103.1744826585,25.9131489093,3.9167908952,17.8390066139,2.285155486,2.6699756698424,0.1939406097,29,29.0
797.0708014444,141.7567165568,8.4084790507,9.1277996823,80.6536724791,2.3012079832,2.68873140757088,0.1220698907,30,30.0
421.0489865392,182.4510877952,38.5007289881,5.0408916548,77.8841859661,2.2831820474,2.6676699041821603,0.180086745,31,31.0
552.6641659439,103.2804382965,35.9688975397,23.9760706574,90.266195219,2.16357015,2.52791536326,0.2632099333,32,32.0
659.1814417392,290.3316318989,10.5924992631,16.2947448716,3.2896001823,2.3231707317,2.7143926829182803,0.0675316859,33,33.0
249.0571631119,234.4814101234,37.6461632862,18.461872153,4.0142712183,2.1506933366,2.51287009448344,0.2372432156,34,34.0
557.0615945384,162.7992726862,3.5711467471,0.837091729,87.3682654463,2.2905312684,2.6762567339985606,0.150648126,35,35.0
219.9583379552,105.4118480533,14.1861627013,4.2325857654,6.5249828622,1.6920254875,1.9769625795950003,0.5584834994,36,36.0
690.8405158669,201.2450603768,19.792658756,38.8494675606,33.8950634934,2.3857462785,2.7875059517994005,0.095222545,37,37.0
204.1478708386,259.002584964,2.3546598954,2.0332069695,63.9995146543,2.0663797677,2.41435812058068,0.2658079547,38,38.0
388.1922194734,165.007410571,29.0601012716,38.8979522139,1.4551903121,2.2039738431,2.5751230382780403,0.2103958699,39,39.0
537.3860044405,102.6681767777,15.0220279279,34.015892297,20.7910915837,2.1706712906,2.5362123359370403,0.2718711293,40,40.0
206.291712448,186.6827862337,6.8956324859,37.1477174759,18.6020273715,1.9099825632,2.23162362684288,0.3385491796,41,41.0
781.4300259575,293.2687327266,30.8727893028,33.5892616212,29.4606196694,2.3435180852,2.73816653074768,0.0545280827,42,42.0
799.3577942252,215.7711805776,7.457744726,1.5689142793,87.7432655543,2.3260999403,2.71781517024652,0.0744518701,43,43.0
243.9429163933,292.7786698565,37.3929553111,30.7233114541,52.7739558369,2.253568214,2.6330691012376004,0.2095287381,44,44.0
733.8711487129,159.1862458736,15.5809738752,36.878978461,1.4999245293,2.3401214627,2.73419791701868,0.1160168383,45,45.0
523.9561470225,104.9081513658,33.0217760233,7.9042568803,8.6805050261,2.1949097079,2.5645325027103603,0.2684093501,46,46.0
530.8870745823,191.2716329098,7.3054328333,39.6639049053,46.2757065892,2.2490158336,2.62775009997824,0.138528525,47,47.0
759.5039116219,295.9183041006,9.273975071,6.1547713727,65.3383956291,2.3928387395,2.7957927832318004,0.0562657204,48,48.0
519.5080023259,293.0566813797,28.8589639794,13.9772179723,94.9428571388,2.3478576522,2.7432368808304806,0.0926278977,49,49.0
200.7104841992,137.7745976672,17.599641935,31.9131017104,98.7799664959,1.7334481933,2.0253608690517204,0.4459183181,50,50.0
298.2566297054,199.567489326,2.9933737889,9.4630148634,81.9267552346,2.2056022409,2.57702565826756,0.2329143046,51,51.0
355.0636339933,287.9892557859,5.5177936396,33.9563050121,30.7439611293,2.3220934084,2.71313393837456,0.1428574359,52,52.0
792.5044495612,109.6124835312,3.4291522875,27.2112375498,96.6940532438,2.3399198932,2.73396240321488,0.1705719134,53,53.0
356.2843374908,285.0980004296,30.3319984623,0.1782721281,10.1677115075,2.3010228067,2.68851504734828,0.1437279418,54,54.0
377.1785523742,284.8305432126,6.4559616838,25.3569452837,98.8781814463,2.3390636099,2.7329619218071604,0.1350701199,55,55.0
630.3156323731,245.1314335689,32.6506054807,38.8064659387,77.601574827,2.3979079775,2.801715680911,0.0857077134,56,56.0
618.9919259399,100.0791825354,5.7342903884,5.6590322778,13.7335509993,2.1978398058,2.5679560290967203,0.2467614213,57,57.0
409.93002709,105.7451082394,4.7801815555,35.2923024446,5.6679694913,2.0476691202,2.3924966000416803,0.3290242258,58,58.0
393.5398373753,118.0699722841,31.6231564488,1.7505405843,4.1359351948,2.0854675265,2.4366602579626004,0.3047816496,59,59.0
445.4204708338,246.1319671944,37.620425262,35.1936450973,31.7382096313,2.3475533087,2.74288128588508,0.1272726816,60,60.0
218.1780194864,265.9192986786,30.2021171004,36.3286004215,2.2552351467,2.1267336034,2.4848755422125604,0.2493594426,61,61.0
765.308550559,299.7260671109,32.3389618951,3.4642574936,5.8931853622,2.3422400414,2.7366732643717606,0.0553952145,62,62.0
629.4988298789,106.343960017,36.5699937334,37.7252053469,39.7982128896,2.2034554082,2.57451729894088,0.2242497346,63,63.0
207.2400582954,291.237843968,29.8904101932,34.9142948166,89.7738653235,2.1564896404,2.51964249584336,0.2415687525,64,64.0
547.291287221,263.539689593,38.7996883988,3.9249237627,16.7479138821,2.3440590215,2.7387985607206002,0.0960863028,65,65.0
704.727730155,280.3176349029,36.665231931,3.0598438531,60.0723325275,2.3135155851,2.7031116096308403,0.0640665327,66,66.0
505.0556153059,298.549631983,32.7966500814,37.8031447157,34.1735861264,2.3245026312,2.7159488742940803,0.0934916555,67,67.0
