Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.0314693523,47.6398301878,17.9176845844,19.242113234,79.0528523956,2.2553175592,2.63511303616928,0.7888132789,1,1.0
0.0158943527,6.1576425971,16.1511879737,39.4808829755,46.1111462628,1.0241037777,1.19656285386468,0.7212714709,2,2.0
0.037020334,17.676741364,39.8039463604,7.3102893306,18.3822641148,2.7644939704,3.23003475501536,0.5502524953,3,3.0
0.0128635,18.2780106486,21.8054852062,0.653785648,88.4231352255,1.5050236153,1.7584695921165203,1.5122711366,4,4.0
0.0150796691,40.6170323029,4.0872095157,11.0379709672,6.124169751,1.3584466922,1.5872091151664802,1.4897594499,5,5.0
0.0332278125,9.8892583291,2.6638892712,9.0296877158,7.5212477679,1.8012332991,2.10456098666844,0.4809646144,6,6.0
0.0153711247,36.4667837608,38.0257970297,35.5537195111,14.7830008488,1.8107242484,2.1156502118305602,1.4862909227,7,7.0
0.0358101252,5.5039637301,32.034104617,38.8452431188,95.4803353181,1.5226097911,1.7790172799212403,0.3264127082,8,8.0
0.0361553771,46.6514552519,26.9554225043,36.7199076557,17.716223508,2.6093509113,3.04876560476292,0.716072054,9,9.0
0.0142730349,42.8787868399,32.9556641988,28.0961083281,97.4066724127,1.6499717567,1.9278270005282803,1.5313277922,10,10.0
0.0249835356,22.0601500511,2.2482252951,37.3874163074,95.35898181,1.8456313555,2.1564356757662,0.9178303463,11,11.0
0.0239424798,42.2403650086,38.6575214178,2.4962002868,42.5460289296,1.6590306702,1.9384114350616801,1.0608564849,12,12.0
0.0188265999,15.7280982128,27.2268869004,5.1853994791,0.8628130443,1.7375700193,2.0301768105501203,0.9931662185,13,13.0
0.0360818342,16.4003830038,19.1898994117,39.6076068848,4.3994268634,2.0779301245,2.4278535574658,0.5415963604,14,14.0
0.0375,16.4426015147,7.8460105841,7.1680106031,91.9745638626,2.0070039342,2.34498339671928,0.5082455261,15,15.0
0.0247116607,43.6020420568,1.6449431634,12.5296790171,38.116108926,1.6948890286,1.98030834101624,0.9853687803,16,16.0
0.0235831311,6.130161477,36.2160692465,27.1697734463,82.6485137957,1.2655979203,1.4787246100785203,0.551111192,17,17.0
0.012,5.6413548499,4.0514901623,13.0321886113,91.2807838897,1.1154004866,1.3032339285434402,0.9775780902,18,18.0
0.012,20.1789945902,40.0,40.0,100.0,1.7279763372,2.0189675523844803,1.6023516237,19,19.0
0.012,39.3333193151,4.395242257,39.178679892,56.5163906617,1.1671161722,1.3636585355984803,1.7582666476,20,20.0
0.0274196166,17.4078341138,38.3607466781,26.4548228277,6.6652244295,2.0335325173,2.37597939321332,0.7472550588,21,21.0
0.0375,35.5812683609,1.5359653816,32.2772128107,54.0515525,1.9419043534,2.26892104651256,0.6797065027,22,22.0
0.02389312,41.183133493,17.6931155469,39.9393922243,27.8247187662,1.8070445021,2.11135079625364,1.0088117058,23,23.0
0.0177474923,40.5449162937,2.032271085,0.4529560554,87.0632344209,1.849678276,2.1611640976784,1.2714919126,24,24.0
0.0375,46.4857362635,32.2750654861,0.3468984023,96.1039408635,2.0284722222,2.3700669444184803,0.6805736345,25,25.0
0.012,10.7025975934,36.1691690395,7.5269027621,14.3735716003,1.2400325468,1.4488540276811201,1.2888143046,26,26.0
0.012,9.3546285067,11.8997428499,33.5062628799,1.1509711155,0.9464816115,1.1058691148766,1.3199905613,27,27.0
0.012,50.0,39.977967743,39.1035178103,4.4808228053,1.4019678426,1.6380592272938401,1.7322796856,28,28.0
0.0375,35.4680554788,33.7441101927,22.5822297528,99.237544265,2.5435019229,2.9718276467163602,0.6918294778,29,29.0
0.0375,5.0,36.1454450243,0.0,47.8006458315,1.1746648794,1.3724784450909602,0.28528468,30,30.0
0.0375,26.1733584391,14.6780884282,0.5285823633,23.4634447987,3.1527253103,3.6836442525545205,0.6597894634,31,31.0
0.0375,28.8668559134,38.925226628,40.0,20.2232819423,2.1759265007,2.5423525234178803,0.6338227457,32,32.0
0.012,24.1892100786,1.5,19.1279990629,9.8543184865,1.4083129204,1.6454728161953602,1.6612558541,33,33.0
0.012,50.0,29.5469573874,1.9448578573,85.690581576,1.2301968905,1.4373620468602002,1.6976483979,34,34.0
0.012,30.1711831312,33.3543030864,12.6396715335,79.3303516785,1.8289590399,2.1369557422191603,1.7305521701,35,35.0
0.012,24.0203538111,31.4402344889,39.4006196565,19.0161298517,1.3954932718,1.6304943387711202,1.6889703316,36,36.0
0.0375,5.0,33.2638467095,26.2321394389,2.7102255099,1.1931875082,1.3941202845808802,0.2991385447,37,37.0
0.0375,37.2318024146,37.8505426052,5.0867046168,8.6975135128,3.4140449985,3.9889701762474004,0.712617023,38,38.0
0.0375,49.4646976638,2.3253094872,26.7165825654,35.8304067541,2.0047821996,2.34238752201264,0.7013544316,39,39.0
0.0249469602,29.0576190078,3.3073814282,39.0548308889,4.5773759419,2.1615086233,2.52550667546372,0.965455115,40,40.0
0.0375,5.0,5.4215754132,27.0612429489,32.2809477146,1.0323074658,1.20614804304072,0.281391022,41,41.0
0.012,9.2403720214,25.8730029648,1.6527587067,56.9232599736,1.4652621018,1.7120122397431201,1.2922693356,42,42.0
0.0276953961,32.0057608252,26.3444190983,1.1206834612,86.7107222941,2.0753108348,2.42479317938032,0.8624115134,43,43.0
0.012,48.1638816286,3.3569705805,2.5179990742,47.6554380155,1.247047104,1.4570498363136002,1.6976349017,44,44.0
0.0375,43.4989970891,2.9478346964,2.3377268934,74.8705920458,2.1455591602,2.50687132277768,0.699623542,45,45.0
0.0265875621,17.7346460393,34.5753237672,2.4151174064,82.5040511303,2.2694486216,2.6516237694774403,0.7403213784,46,46.0
0.0215029852,6.3270760599,14.165413681,0.0031971359,7.8305087037,0.8220643073,0.9604999366493201,0.623423912,47,47.0
0.0375,23.6525445401,37.0733792296,29.0143834921,98.6610910642,2.9964096427,3.5010050265306805,0.5991847098,48,48.0
0.0375,48.4887395911,4.3857887253,14.661898818,2.9035170792,1.6296434051,1.90407535451884,0.7082779899,49,49.0
0.0375,41.1446777995,2.5042629,39.9701437448,4.8478265756,2.3057492435,2.6940374161054006,0.7091484957,50,50.0
0.012,15.9248922609,2.0756181691,30.238708313,57.8581052939,1.5249945617,1.7818036458902802,1.4568556777,51,51.0
0.012,49.4937415048,5.8544950114,30.8901299263,91.7419085431,1.1155596576,1.3034199039398402,1.7444060348,52,52.0
0.0375,49.8248453032,2.6378702666,38.6647401355,78.0788271499,1.9955043799,2.3315473174751604,0.7074142321,53,53.0
0.012,49.734422224,35.9271086153,5.8413333332,10.1129271346,1.418572044,1.6574595762096003,1.6802990135,54,54.0
0.0375,49.2752928355,36.8009738939,28.4374437895,97.4854216193,2.277999147,2.6616142033548003,0.7004906738,55,55.0
0.0208055514,49.5918284164,3.345039867,33.344030722,36.9474878744,1.6713764939,1.95283629547276,1.0809017383,56,56.0
0.0207473011,29.8778078079,39.9966639985,21.2766893083,89.1497625148,2.3152902071,2.70518507797564,1.1527522129,57,57.0
0.0375,6.2064582607,4.5506448284,32.786883225,98.0157541467,1.0792536486,1.2609999630242401,0.3489210208,58,58.0
0.0272453261,49.931041765,28.8949488897,37.4238354611,41.5765480436,2.1343783147,2.4938076228954804,0.9100396562,59,59.0
0.012,39.2991063104,39.9896290675,12.5558008892,0.4139518951,1.4242990654,1.6641510280133602,1.7392032439,60,60.0
0.0375,36.1024788392,3.3154358909,5.8353375938,4.8845760406,2.1806381698,2.54785763759432,0.6727795703,61,61.0
0.012,14.3366749755,1.7384407613,1.1764760472,50.9279458301,1.4429288503,1.6859180686905202,1.4533736543,62,62.0
0.0375,49.5164356679,36.3568610299,25.7251935638,8.8581991898,1.7028866949,1.9896528143211603,0.6710486807,63,63.0
0.012,5.0,39.6552237894,22.2190282008,1.8244056565,0.7454751271,0.87101313850364,0.6831682818,64,64.0
0.012,28.208503456,8.6436838009,0.9046230312,0.2110217335,1.543732934,1.8036975600856,1.7582666476,65,65.0
0.0375,8.5573616486,32.9485162584,2.7659729888,96.4622678743,1.7107716336,1.9988655766982402,0.4052036115,66,66.0
0.0254666505,13.1941681113,22.1820718956,37.7755888658,95.1772127203,2.2221376949,2.59634568272116,0.7264641396,67,67.0
0.012,35.1252718589,9.6325773494,0.7784627699,87.4483412119,1.4104517134,1.6479717819365602,1.7703929968,68,68.0
0.0375,28.8906032273,8.6560480435,16.0344116252,92.1945429112,2.0190517334,2.35906004530456,0.6736500762,69,69.0
0.012,12.3795964936,39.6910492076,39.2657019219,89.8291128571,1.3713078518,1.60223609404312,1.4048817537,70,70.0
0.0204313606,29.7160765424,39.2284925614,2.0909217228,8.9793573751,1.6209621839,1.8939322156687601,1.1224498362,71,71.0
0.0267543617,42.5833350892,39.3957369283,38.1997883207,94.3206315786,1.7898284314,2.09123553924776,0.931680837,72,72.0
0.012,30.9501775614,38.0925569591,39.5548849671,97.5762631958,1.7877788746,2.0888408370826403,1.7409375076,73,73.0
0.0257615466,49.6248558217,37.1245621365,2.6382392776,68.7888256589,1.6056802565,1.8760768116946,0.9230263891,74,74.0
0.0264094984,48.4528015003,15.578860058,0.071680185,6.1349196236,1.8060533533,2.11019273799572,0.9282224319,75,75.0
0.0375,22.6282633567,3.5407203772,27.6098672108,1.0788315905,2.7623926235,3.2275795412974,0.6164969797,76,76.0
0.028571337,5.2678185476,20.7105891391,31.9663601622,0.1725388767,0.8153524075,0.9526577529230001,0.3935142022,77,77.0
0.012,25.7551136376,10.3029662065,26.1796439337,90.5584360161,2.1470047777,2.50856038226468,1.6941731225,78,78.0
0.0246228745,23.0232487678,31.9488340074,1.1178931359,7.7281241651,1.7822748767,2.0824099659362805,0.9178269723,79,79.0
0.0375,13.7134527868,40.0,18.8465434397,86.1437114342,1.9396165792,2.26624801113728,0.4878982949,80,80.0
0.0235603556,34.8581050943,3.7718484131,25.9112172458,41.994354823,1.7591969887,2.0554457615970803,1.0495331605,81,81.0
0.0278525798,26.2614941397,39.0959429503,11.2519537383,91.9652265187,2.299124032,2.6862965189888,0.8953119116,82,82.0
0.0239531712,23.7948364218,4.7535241567,6.0376003759,95.8413667882,1.7832722833,2.0835753358077205,0.9593919404,83,83.0
0.012,46.7046947929,38.5531983235,35.562509489,98.5006809441,1.2276437093,1.4343789099461202,1.7010899327,84,84.0
0.0375,27.5443033012,3.9977727776,39.7731741963,68.1520508667,2.3453017187,2.74025052812908,0.6615203529,85,85.0
0.012,5.0,39.6262116893,21.8449816249,93.7572350007,0.8105899203,0.94709326287852,0.7290689091,86,86.0
0.0254002716,9.5165757346,9.3890752078,8.6309226346,97.701841639,1.7393584326,2.03226639264984,0.6294904607,87,87.0
0.0235575615,17.6844279094,3.7818816692,27.307704688,3.8083018277,2.0281314743,2.36966881457212,0.8927172642,88,88.0
0.012,38.8200302688,2.6543215534,39.6409219867,5.7624452794,1.2065021152,1.40967707139968,1.7669312177,89,89.0
0.0375,5.8754963055,4.5337273826,1.7745296084,38.0860766996,1.4344144786,1.67596987679624,0.3242465657,90,90.0
0.012,8.6554426471,4.9120206558,37.006294,95.0477335326,1.3655193214,1.5954727751237603,1.2316375897,91,91.0
0.022243492,6.5800491782,1.6850819584,36.799319655,3.9636228163,1.230521488,1.4377413065792,0.6009088513,92,92.0
0.012,15.2914462912,14.9586710018,39.6853869937,0.0100744397,1.9762079269,2.30900134178996,1.4620449724,93,93.0
0.012,5.745909261,2.519779988,8.2039089939,18.8646507961,0.7917719582,0.9251063559608801,0.9793056057,94,94.0
0.0375,42.2522848775,37.5307055974,35.4695619107,81.4437187143,2.3513355287,2.74730043173308,0.699623542,95,95.0
0.0242608739,5.9050160688,20.6119514721,4.1895796704,98.1992792048,1.1404048991,1.3324490841084402,0.5060726354,96,96.0
0.0375,48.5878120422,38.8697293827,6.6558236635,6.6173148693,2.2363149164,2.61291034832176,0.6831750299,97,97.0
0.0375,32.0497283203,39.3261445586,39.9277833004,5.1307137965,2.4689723181,2.8847472564680405,0.6814407663,98,98.0
0.012,43.3746748548,37.511418607,5.125810728,98.3013411823,1.3759981765,1.6077162694226002,1.7132162819,99,99.0
0.0375,20.4942850159,5.03472037,0.3958130674,2.1320883306,2.3236079035,2.7149034744494003,0.5861912288,100,100.0
0.0375,32.1189560899,36.5571095153,0.3655026795,99.8714806186,2.1864300374,2.5546248556981603,0.6996201679,101,101.0
0.0375,9.6845330011,1.5703042752,4.7554543717,97.8972230769,1.7072209653,1.99471697585652,0.4238216401,102,102.0
0.012,33.2392912944,2.339285305,39.1459671056,93.9483633609,1.6041631605,1.8743042367282001,1.7651902059,103,103.0
0.026618673,49.0835452206,7.3295906367,2.852550107,86.197073009,1.6434683969,1.9202284749379601,0.9126343035,104,104.0
0.012,16.872845362,2.5325411414,2.0334763619,1.5289622468,1.6059412964,1.8763818107137602,1.5105436211,105,105.0
0.012,18.9982566562,38.9637789552,39.0794147325,24.2556835875,1.4802989991,1.72958135054844,1.571175367,106,106.0
0.0375,8.1138636098,38.1186995618,3.0774940884,2.1841576432,1.3457728634,1.57240101359656,0.4138631204,107,107.0
0.0375,14.974355349,39.8456089548,39.0726031802,4.3221450097,2.7960784314,3.26693803924776,0.4826988781,108,108.0
0.012,31.4640752463,37.2451681109,33.3116303595,4.743634772,1.3230664704,1.54587086401536,1.7790508188,109,109.0
0.012,47.5805179683,37.4152783689,39.7560909761,99.908334052,1.3542867826,1.5823486767898403,1.6872428161,110,110.0
0.0206808029,38.2385217497,37.1936213911,18.2375871771,92.8560517471,1.9517790523,2.2804586447073203,1.1779428983,111,111.0
0.0375,34.4276977466,1.9281859251,11.4941569015,93.7231317709,2.0289418847,2.3706156980834803,0.7082779899,112,112.0
0.0375,41.4039449947,3.5170479138,38.8348455694,91.6776696691,1.8072699149,2.1116141685691603,0.712617023,113,113.0
0.012,5.2021840717,33.078948237,37.1863891239,8.6569290758,0.7122989184,0.8322500562585601,0.6970255206,114,114.0
0.012,27.5053765835,38.9383141552,4.5063749383,16.1258500267,1.6441398094,1.92101295330296,1.6699204242,115,115.0
0.0375,22.4086782981,38.0299766273,36.6194034009,71.9873409277,2.2394212934,2.6165398392085604,0.6225534061,116,116.0
0.012,47.2668069268,4.8725326554,36.9005131932,20.5592259299,1.1107167755,1.2977614804942001,1.7132162819,117,117.0
0.0375,23.3227286292,39.0834131986,1.5600369009,93.3707487936,2.6583779817,3.1060488338182806,0.6338227457,118,118.0
0.0244324878,10.7036268204,39.8446983679,37.5928873089,7.3185765364,1.4565551631,1.70183905256604,0.7117498912,119,119.0
0.0375,16.3523911233,3.3713928549,31.6903531853,94.2237433044,2.0866769854,2.4380733897413602,0.5143154488,120,120.0
0.0375,5.6780192748,8.5552954698,32.5975635402,3.4745313594,1.1970520193,1.3986355793501202,0.3082282455,121,121.0
0.0243324683,45.4940301942,37.5787795955,37.4628995995,4.0343897333,2.4736767819,2.8902439519719603,1.0365767941,122,122.0
0.0289881778,34.7598363815,36.8122543245,39.8698286955,92.6594028226,2.2750697735,2.6581915233574,0.8658766666,123,123.0
0.012,41.3375577757,1.5010107797,4.0882869419,7.3682995777,1.1809575149,1.3798307604091602,1.7461402984,124,124.0
0.012,22.1026377043,39.480983248,0.7077191359,78.1503322388,1.7474450371,2.04171478134764,1.6612423579,125,125.0
0.0249765137,5.1368246203,2.281069381,37.8234568938,62.7922567893,0.8538439053,0.99763121895252,0.4558549064,126,126.0
0.012,35.8083103835,36.4500872394,36.9014263422,98.9644107525,1.8753410732,2.1911485099268804,1.765196954,127,127.0
0.012,16.9747125975,8.0694258008,0.4051949062,92.6928538311,1.6042839489,1.8744453658947602,1.5088161055,128,128.0
0.012,6.0227739538,39.7647224806,15.4484827493,95.0359406297,0.8085626629,0.9447246153323601,1.0061495774,129,129.0
0.012,48.3203509297,6.939994408,1.1801798589,98.1422384322,1.5158932664,1.7711696924617601,1.7461335503,130,130.0
0.0375,29.7541856241,4.886588551,9.714923453,0.0666269968,2.3814117807,2.7824415245698804,0.6623874848,131,131.0
0.012,26.7236752268,2.3275034437,8.3933789186,94.1326221107,1.5549640671,1.8168200159996402,1.69589389,132,132.0
0.012,19.0910196592,39.8139632,13.7225253624,1.9189032907,1.3576574483,1.58628696259372,1.6075476665,133,133.0
0.012,8.78948979,3.6009650953,2.6066222304,98.0618094447,1.0766348251,1.25794012964684,1.2489599817,134,134.0
0.0375,9.5193920403,38.9966346516,38.9482834461,19.3061213868,1.9150047584,2.2374915597145604,0.4255542167,135,135.0
0.0243104702,34.3519092576,12.2138388419,2.1848373196,0.1439462106,2.0839077153,2.43483777455652,1.0028058901,136,136.0
0.012,49.5656328075,31.3529873929,35.2993098359,3.9585474842,1.2324461165,1.4399900425186,1.6820332771,137,137.0
0.0375,11.9513615487,2.2950543351,4.768353776,6.2803573408,2.4371147894,2.84752491993496,0.461918081,138,138.0
0.0375,49.9915264632,7.2585528949,5.7046205229,11.3617571274,1.9349376391,2.26078113752444,0.6753809658,139,139.0
0.012,19.1420179817,8.6257014448,39.655103326,92.1499095666,1.959978355,2.2900387099820003,1.5469226686,140,140.0
0.0375,21.9357649349,36.2744452793,0.4990934404,2.3940626184,1.9030349096,2.2235059883766404,0.5913872716,141,141.0
0.0375,41.4720225827,2.8283205788,2.3722242535,9.099718046,1.8855952939,2.20312954139276,0.7204077131,142,142.0
0.0375,11.7932697661,36.5814038741,39.8770149979,99.6605055821,2.3574850299,2.75448550893516,0.4502286718,143,143.0
0.0263445527,49.5864506844,39.6016077724,6.9956852199,91.0151218283,1.7371894484,2.02973215151056,0.9178337204,144,144.0
0.0375,29.1520998099,34.9286189339,3.2149610583,2.6242433673,2.393945803,2.7970862762252002,0.6727795703,145,145.0
0.0375,44.9955163912,39.7580597528,33.6934082681,5.4120503239,1.7916699644,2.0933871864049602,0.6883710727,146,146.0
0.0375,40.2713687015,37.6167870974,1.179064303,83.1517321837,2.4066710963,2.8119545089169207,0.69096572,147,147.0
0.0375,48.551042254,30.7863219034,39.2959303564,93.7460634251,1.9371269655,2.2633391464902,0.6857663032,148,148.0
0.012,49.1198623106,21.5097648113,6.1000549274,4.6076959593,1.2989919953,1.51774224730852,1.7062792274,149,149.0
0.0375,49.8047777141,35.1458970374,1.6815244173,88.0231689272,2.2744792681,2.6575015768480403,0.699623542,150,150.0
0.0375,5.269550073,16.3248137416,0.4903032888,89.7648242669,1.2623617964,1.4749435229137602,0.3142914201,151,151.0
0.012,26.7457390595,38.6658038674,0.5961569632,90.5159744299,2.510169006,2.9328814666104,1.6959006381,152,152.0
0.0375,27.2109131362,2.8114533654,36.7819457043,97.9638451418,1.7520743777,2.0471237029046803,0.6632613647,153,153.0
0.012,30.6240421036,1.7857758933,10.4550581863,12.9083563868,1.2749427127,1.48964306551868,1.7374824765,154,154.0
0.012,37.4239995285,1.7106654328,29.4693078304,92.8528892473,1.2583081466,1.47020723848744,1.7686654813,155,155.0
0.0270347995,40.7213742169,2.6646138017,39.9279089358,4.7528551292,1.764776961,2.0619654012324,0.9567972931,156,156.0
0.0375,21.6372038045,15.0441471714,6.6946003032,98.7108413324,2.51864626,2.9427862901840003,0.5783988517,157,157.0
0.012,45.5176908835,3.1913229884,3.9539757359,2.8575295812,1.0900948531,1.2736668263620403,1.7062927236,158,158.0
0.012,49.6686216333,3.6012444773,3.2753357785,6.8768872706,1.350699395,1.578157173118,1.6889770798,159,159.0
0.0375,38.0676651617,34.6782008488,30.4218009287,4.8883499537,2.6291629163,3.07191395140492,0.6935603674,160,160.0
0.0266896441,38.5351482218,3.5119930763,32.7417771081,96.6563582266,1.7879112471,2.0889955011116403,0.9377473856,161,161.0
0.012,26.8928147708,2.5741926709,36.0309125751,19.8346191593,1.5939247874,1.8623417215981601,1.7288179065,162,162.0
0.012,49.2563509517,3.43284264,38.1277148645,78.9266073064,1.0950328022,1.2794363260904802,1.7184055766,163,163.0
0.012,6.1182238008,15.121409236,0.514022812,5.8562192264,0.7374400404,0.86162494320336,0.9966246236,164,164.0
0.0375,21.0738437647,1.8382640966,5.172656699,88.848025352,3.2328097108,3.77721486609872,0.6017793572,165,165.0
0.0248534025,24.1814494595,2.0429472881,9.0098270949,2.9779894712,1.7693814775,2.067345318311,0.9498669867,166,166.0
0.0375,44.5390119769,1.5464600487,32.6831274427,97.3233662515,1.6992118596,1.9853591367566403,0.7100156275,167,167.0
0.0247079173,21.075721837,32.124378373,38.0028565066,98.9309450622,2.5654687843,2.9974937275761206,0.9186941041,168,168.0
0.012,13.8294148528,38.1427840448,1.806433444,7.0657839673,1.2153952843,1.4200678501761201,1.4170013548,169,169.0
0.012,34.4389204282,21.1979958042,36.5022440199,1.9786030125,1.2300242131,1.4371602905860403,1.7825058498,170,170.0
0.0375,49.0422503198,3.5975390426,4.9929427194,99.4591702603,1.9601904968,2.29028657646112,0.6987564102,171,171.0
