PRR (Hz),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
339.1569606418,206.0506345474,20.8844011344,37.7032060187,10.0934879114,1.296803014,0.937378497033732,0.202948321,1,1.0
619.1326452419,123.2959410176,32.1197222401,4.7043110057,89.1108004376,1.2815519177,0.9263544250864326,0.1774934473,2,2.0
521.0822600871,298.2420960441,10.1768635083,5.0787222385,31.6859706305,1.4790028645,1.069079472569451,0.0855410352,3,3.0
731.0758499429,287.2450081632,31.4181391876,36.4012438431,77.9967038892,1.4576101834,1.0536160297484891,0.0573150511,4,4.0
243.8835551962,198.1418741867,6.8592092185,27.035009861,96.2610055692,1.2608784955,0.911410889930229,0.2995704236,5,5.0
283.6443958804,100.0125067309,14.8737308942,2.9942302033,6.1411206611,1.0050583982,0.7264944024380916,0.4307485724,6,6.0
240.6972635537,124.6614949778,36.4601343526,29.5625542849,70.3746544197,1.0306309447,0.7449792108050586,0.4095342095,7,7.0
780.8587042615,115.386887081,34.7458660146,31.4618560299,2.7517417446,1.3102803625,0.9471204366687749,0.1520382362,8,8.0
235.8143825084,298.3207272366,34.6867996985,13.0900474638,0.408115983,1.3893605843,1.0042826260342435,0.2268443819,9,9.0
782.6590141281,221.4808659628,4.6398489461,38.388948217,49.0585434251,1.3443980161,0.9717819731616918,0.0706499864,10,10.0
727.5856271386,264.7699680179,38.63025301,6.3890295476,49.2860238999,1.4399163347,1.0408262435418785,0.0638958055,11,11.0
757.0396052673,176.2790370733,4.4542634417,3.7317522988,32.5307961553,1.4279162911,1.0321521560261417,0.1009523631,12,12.0
254.3707979843,216.3254041225,24.7320203325,4.2080621049,58.3062544465,1.2624521162,0.9125483627697756,0.2805238901,13,13.0
631.6231148317,132.484938018,1.7554712365,30.0743840262,11.5965859964,1.2517724149,0.9048286688414862,0.1705671898,14,14.0
688.4556883946,156.8552691489,34.0756867952,39.6844561771,77.5876595639,1.2985113772,0.9386133668724936,0.1262368471,15,15.0
250.982747227,289.8356366903,30.3990872176,30.1885824651,73.048387561,1.3272824091,0.9594101620290257,0.2233775417,16,16.0
598.161528632,180.9309929609,35.4639711878,0.1965397969,0.2888699062,1.3276887283,0.9597038649869154,0.1251976386,17,17.0
301.9369892776,111.4147821441,1.6125401487,3.5685925186,82.284406852,1.0721417977,0.7749848327658726,0.3909195549,18,18.0
212.497776933,109.5111008734,6.1001125188,39.1242038086,45.972180739,0.9028703472,0.6526289960293536,0.5052122517,19,19.0
739.0014562756,297.3897174001,3.6945081046,23.9610505849,89.7177616134,1.3094891304,0.9465485040400752,0.0557575879,20,20.0
548.6945798621,221.4500240982,10.4856958105,19.5584435388,93.5699944384,1.3974635089,1.0101397278462583,0.1122088812,21,21.0
712.6149540767,120.5157209188,8.1049626037,20.371458903,97.4583311938,1.309963755,0.94689158073669,0.1655452482,22,22.0
798.6506192014,214.5750112832,29.4774670028,1.1089471355,97.37678729,1.3365263482,0.9660920324801916,0.0741137899,23,23.0
222.9057492688,274.9586392194,8.1059311079,7.1299147233,58.9465795085,1.2978896337,0.9381639470444406,0.2666717125,24,24.0
405.1309566945,243.5696978122,39.2927074302,38.1799242273,17.2752598301,1.2999124805,0.939626137579659,0.148401681,25,25.0
226.996268332,272.843865864,1.9371199044,33.3554058522,20.4518656246,1.2427726517,0.8983232980095246,0.264507257,26,26.0
225.8796429262,155.5512556806,21.052412264,8.086004518,16.1849012598,1.0898698296,0.7877993278884048,0.3870225228,27,27.0
793.539663218,274.5105048642,22.3928078855,32.8993949294,18.6383834109,1.305311503,0.9435287562055139,0.0566233701,28,28.0
427.8241168708,155.1111647859,15.8455862557,39.4398178533,77.8359844349,1.2597111426,0.9105670828946988,0.2194838837,29,29.0
