Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.036140342,17.7512477348,24.7213798635,6.4907212639,23.3031284398,1.3514358719,0.9768692027724521,0.4874579809,1,1.0
0.0165250122,47.2758482179,39.5754956592,38.1466516072,90.7400569062,0.967525097,0.699363906065286,0.9853687803,2,2.0
0.0129599505,13.6589694535,2.3785977373,37.0622509718,51.5290846117,0.9061148253,0.6549742280902013,1.0729929563,3,3.0
0.0164632809,49.7710593814,12.6560779732,15.4762772454,24.2983468804,0.9403263953,0.6797036509258614,0.9637208514,4,4.0
0.0123499042,11.1336670676,38.198482486,9.030940868,95.9995138459,0.9119449935,0.659188495211553,1.0495702751,5,5.0
0.0350798828,33.2217292162,32.996931457,39.3738723174,15.0129154325,1.466599486,1.060113839261268,0.5550183462,6,6.0
0.0367062203,44.8770765525,16.3359147478,37.2113460657,90.3546624921,1.2378069525,0.894733901931195,0.4991473901,7,7.0
0.0240830612,28.7757175505,8.3943500043,5.0959438235,83.7809823679,1.2329689667,0.8912368219514945,0.7862118834,8,8.0
0.0144826433,11.194108717,25.5018735885,14.2531078689,3.2609931898,0.7853235795,0.5676617255586209,0.9611262041,9,9.0
0.0360751517,6.6874498046,1.6846930221,32.9569054262,29.2055554687,1.093819096,0.790654007714448,0.3311751851,10,10.0
0.0315390962,12.8606960423,32.6575246707,37.563450375,95.5125781786,1.6252975992,1.1748268660105297,0.4913567,11,11.0
0.0363703143,47.0076308644,5.2362681994,3.2923161879,10.5135149081,1.3984010235,1.010817399024693,0.5056424436,12,12.0
0.0309069167,9.5914021061,37.555131766,8.3609708533,95.3181440433,1.1888152157,0.8593208128861566,0.4506622377,13,13.0
0.0256740564,47.3488074977,36.9397617908,16.9210765082,10.5501907344,1.2576199037,0.9090554559507006,0.6762447235,14,14.0
0.0200231321,21.2514466066,24.6937142935,38.3476658436,5.915492765,1.1787468701,0.8520430300893437,0.9334117265,15,15.0
