source_1_set_power_[W],set_pressure_[mTorr],qcm_1_mass_rate_[ng/cm2s],qcm_1_mass_rate_[ng/cm2s]_error,qcm_2_mass_rate_[ng/cm2s],qcm_2_mass_rate_[ng/cm2s]_error,qcm_3_mass_rate_[ng/cm2s],qcm_3_mass_rate_[ng/cm2s]_error,source_1_voltage_[V]_mean,source_1_voltage_[V]_std,n,n_error,A,A_error,synthetic
1,1,-0.203670144,0.019058343,-0.096962799,0.05119014,-0.096054989,0.045688343,0.439,0.147,6.16E-06,0.739862354,-436.4580654,236.1349022,0
1,4,0.277270141,0.041003178,-0.066055637,0.034725672,0.232812163,0.047971042,0.418,0.114,6.15909E-06,3.207755923,173.2137097,515.2946869,0
1,7,0.681537452,0.031561102,0.163817007,0.065932744,0.39861404,0.037411755,0.436,0.152,6.15909E-06,0.35544775,1113.423257,201.6941382,0
1,10,0.340468577,0.035841911,-0.187037109,0.040601743,0.101976987,0.047794548,0.405,0.158,18.91475674,945.7378368,-422616.185,610774.0321,0
1,13,0.015811786,0.025700932,-0.07515246,0.072014352,-0.125609086,0.080714051,0.374,0.137,6.15909E-06,3.110186884,-319.1328353,255.0797649,0
1,16,0.880661424,0.049458091,-0.366247486,0.044911733,0.081346809,0.048776567,0.417,0.178,29.99999515,0,-163874820.5,232163463.2,0
1,19,0.484729866,0.070012182,-0.427203117,0.064194167,-0.086617927,0.047674798,0.314,0.164,6.15909E-06,133.7059037,-1020.000275,1712.100978,0
1,22,0.732093397,0.052446601,-0.093249056,0.059609075,0.274962568,0.061176305,0.405,0.152,2.730536787,2.886960009,64.09569623,626.1414707,0
1,25,0.723706073,0.065974404,0.272747919,0.050728969,0.310995656,0.047409253,0.392,0.159,6.15909E-06,0.563227785,1330.356117,590.3692784,0
1,28,0.737574669,0.045500892,0.167731385,0.050263473,0.228935921,0.079430473,0.368,0.133,0.217481077,0.806453856,869.9624781,257.3465274,0
1,31,0.488559063,0.0397005,-0.220445464,0.041308395,0.05628149,0.047801616,0.472,0.161,29.99999492,0,-98619668.62,139751962.6,0
1,34,0.575728614,0.071104264,0.411606689,0.052888711,0.184269463,0.065715862,0.384,0.17,6.15909E-06,1.61153539,1509.496942,1243.927211,0
1,37,0.762861477,0.080661634,0.121201705,0.052105909,0.118246085,0.031407753,0.396,0.165,2.834234682,1.527919052,583.0718234,356.9287921,0
1,40,0.797631296,0.035302881,0.505081274,0.050468093,0.393861616,0.038270302,0.465,0.114,6.15909E-06,1.034122189,2058.740186,1381.537334,0
1,43,0.77931717,0.066203106,0.127068694,0.056940505,0.321273796,0.044371315,0.414,0.117,6.15909E-06,0.026785561,978.0070084,23.00510024,0
4,1,0.595194953,0.055117125,0.135394426,0.052613004,0.220629121,0.06861059,437.689,9.903,6.15909E-06,0.339151202,823.4195321,179.2353782,0
4,4,1.654261095,0.063444671,0.16097983,0.057052106,0.541146856,0.041513997,325.314,7.02,1.147190499,0.068737594,1131.88198,40.90566304,0
4,7,2.600514767,0.025038067,0.098516086,0.066914227,0.92253348,0.036340081,222.422,3.435,1.378407563,0.627454246,1443.946264,558.2789701,0
4,10,2.519997518,0.024908659,0.320320636,0.042088431,0.782974345,0.037464894,195.769,0.204,1.057010483,0.198046766,1880.410645,181.6139648,0
4,13,7.027851869,0.059801853,-0.208885357,0.056020662,1.679959111,0.05353609,161.811,17.004,3.832160818,1.036818937,1793.58673,3043.016204,0
